名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比
1,博丽灵梦,1954,591,0.3025,2545,0.2715,0.0953
2,雾雨魔理沙,1280,368,0.2875,1648,0.1778,0.0593
3,蕾米莉亚・斯卡蕾特,1242,328,0.2641,1570,0.1725,0.0529
4,十六夜D夜,1152,297,0.2578,1449,0.16,0.0479
5,西行寺幽幽子,1144,323,0.2823,1467,0.1589,0.0521
6,八云紫,1135,251,0.2211,1386,0.1577,0.0405
7,芙兰朵露・斯卡蕾特,1096,304,0.2774,1400,0.1523,0.049
8,爱丽丝・玛格特洛依德,973,264,0.2713,1237,0.1352,0.0426
9,古明地恋,840,203,0.2417,1043,0.1167,0.0327
10,藤原妹红,836,231,0.2763,1067,0.1161,0.0372
11,帕秋莉・诺蕾姬,770,186,0.2416,956,0.107,0.03
12,古明地觉,720,161,0.2236,881,0.1,0.026
13,东风谷早苗,714,165,0.2311,879,0.0992,0.0266
14,魂魄妖梦,711,188,0.2644,899,0.0988,0.0303
15,射命丸文,705,186,0.2638,891,0.0979,0.03
16,蓬莱山辉夜,674,156,0.2315,830,0.0936,0.0251
17,秦心,628,61,0.0971,689,0.0872,0.0098
18,琪露诺,605,150,0.2479,755,0.0841,0.0242
19,风见幽香,584,140,0.2397,724,0.0811,0.0226
20,比那名居天子,461,94,0.2039,555,0.064,0.0152
21,铃仙・优昙华院・因幡,449,88,0.196,537,0.0624,0.0142
22,伊吹萃香,437,79,0.1808,516,0.0607,0.0127
23,红美铃,388,90,0.232,478,0.0539,0.0145
24,鬼人正邪,337,51,0.1513,388,0.0468,0.0082
25,键山雏,322,88,0.2733,410,0.0447,0.0142
26,四季映姬・亚玛萨那度,302,58,0.1921,360,0.042,0.0094
27,上白泽慧音,300,53,0.1767,353,0.0417,0.0085
28,宇佐见莲子,289,50,0.173,339,0.0402,0.0081
29,矢诹访子,266,56,0.2105,322,0.037,0.009
30,圣白莲,226,32,0.1416,258,0.0314,0.0052
31,灵乌路空,223,78,0.3498,301,0.031,0.0126
32,丰聪耳神子,220,43,0.1955,263,0.0306,0.0069
33,八意永琳,217,53,0.2442,270,0.0301,0.0085
34,八云蓝,212,35,0.1651,247,0.0295,0.0056
35,露米娅,205,45,0.2195,250,0.0285,0.0073
36,稗田阿求,181,27,0.1492,208,0.0251,0.0044
37,玛艾露贝莉・赫恩,172,13,0.0756,185,0.0239,0.0021
38,少名针妙丸,169,15,0.0888,184,0.0235,0.0024
39,冈崎梦美,168,21,0.125,189,0.0233,0.0034
40,水桥帕露西,166,18,0.1084,184,0.0231,0.0029
41,物部布都,163,36,0.2209,199,0.0226,0.0058
42,多多良小伞,150,21,0.14,171,0.0208,0.0034
43,封兽w,144,25,0.1736,169,0.02,0.004
44,犬走,139,27,0.1942,166,0.0193,0.0044
45,霍青娥,135,13,0.0963,148,0.0188,0.0021
46,河城荷取,131,20,0.1527,151,0.0182,0.0032
46,堀川雷鼓,131,12,0.0916,143,0.0182,0.0019
48,火焰猫,121,24,0.1983,145,0.0168,0.0039
49,茨木华扇,118,15,0.1271,133,0.0164,0.0024
50,橙,116,13,0.1121,129,0.0161,0.0021
51,八坂神奈子,114,17,0.1491,131,0.0158,0.0027
52,森近霖之助,109,14,0.1284,123,0.0151,0.0023
52,神绮,109,11,0.1009,120,0.0151,0.0018
54,小野V小町,106,20,0.1887,126,0.0147,0.0032
55,永江衣玖,94,22,0.234,116,0.0131,0.0035
56,暝瞒,93,19,0.2043,112,0.0129,0.0031
57,因幡帝,90,16,0.1778,106,0.0125,0.0026
57,魅魔,90,9,0.1,99,0.0125,0.0015
59,大妖精,87,8,0.092,95,0.0121,0.0013
60,本居小铃,83,3,0.0361,86,0.0115,0.0005
61,二岩l藏,82,9,0.1098,91,0.0114,0.0015
62,星熊勇仪,80,10,0.125,90,0.0111,0.0016
63,今泉影狼,79,8,0.1013,87,0.011,0.0013
64,小恶魔,76,11,0.1447,87,0.0106,0.0018
65,米斯蒂娅・萝蕾拉,72,14,0.1944,86,0.01,0.0023
66,村纱水蜜,69,10,0.1449,79,0.0096,0.0016
66,姬海棠果,69,10,0.1449,79,0.0096,0.0016
68,苏我屠自古,60,9,0.15,69,0.0083,0.0015
68,赤蛮奇,60,3,0.05,63,0.0083,0.0005
70,梅蒂欣・梅兰可莉,56,7,0.125,63,0.0078,0.0011
71,秋静叶,52,6,0.1154,58,0.0072,0.001
72,秋穰子,50,5,0.1,55,0.0069,0.0008
73,毛玉,49,4,0.0816,53,0.0068,0.0006
74,莉莉白,48,10,0.2083,58,0.0067,0.0016
75,若鹭姬,43,4,0.093,47,0.006,0.0006
76,人形（含上海人形、哥利亚人形）,40,4,0.1,44,0.0056,0.0006
76,九十九弁弁,40,2,0.05,42,0.0056,0.0003
78,宫古芳香,38,8,0.2105,46,0.0053,0.0013
79,娜兹玲,29,4,0.1379,33,0.004,0.0006
80,蕾迪・霍瓦特洛克,28,4,0.1429,32,0.0039,0.0006
80,幽谷响子,28,2,0.0714,30,0.0039,0.0003
82,莉格露・奈特巴格,27,6,0.2222,33,0.0038,0.001
82,寅丸星,27,5,0.1852,32,0.0038,0.0008
82,幻月,27,4,0.1481,31,0.0038,0.0006
82,卡娜・安娜贝拉尔,27,1,0.037,28,0.0038,0.0002
86,露娜萨・普莉兹姆利巴,26,3,0.1154,29,0.0036,0.0005
86,斯塔萨菲雅,26,1,0.0385,27,0.0036,0.0002
88,九十九八桥,22,4,0.1818,26,0.0031,0.0006
89,琪斯美,21,4,0.1905,25,0.0029,0.0006
90,无名的读书妖怪（朱鹭子）,18,4,0.2222,22,0.0025,0.0006
90,露娜切尔德,18,3,0.1667,21,0.0025,0.0005
90,魂魄妖忌,18,1,0.0556,19,0.0025,0.0002
90,黑谷山女,18,1,0.0556,19,0.0025,0.0002
94,爱莲,17,3,0.1765,20,0.0024,0.0005
94,绵月依姬,17,2,0.1176,19,0.0024,0.0003
96,云居一轮,16,2,0.125,18,0.0022,0.0003
97,萨丽爱尔,15,6,0.4,21,0.0021,0.001
98,莉莉卡・普莉兹姆利巴,13,2,0.1538,15,0.0018,0.0003
99,艾丽,12,1,0.0833,13,0.0017,0.0002
99,北白河千百合,12,0,0.0,12,0.0017,0.0
101,绵月丰姬,11,1,0.0909,12,0.0015,0.0002
102,桑尼米尔克,10,1,0.1,11,0.0014,0.0002
102,梦子,10,0,0.0,10,0.0014,0.0
102,STG作品中没有名称的BOSS,10,0,0.0,10,0.0014,0.0
105,梅露兰・普莉兹姆利巴,9,0,0.0,9,0.0013,0.0
106,蕾拉・普莉兹姆利巴,8,2,0.25,10,0.0011,0.0003
106,命莲,8,1,0.125,9,0.0011,0.0002
106,雪,8,1,0.125,9,0.0011,0.0002
106,舞,8,1,0.125,9,0.0011,0.0002
106,胡桃,8,0,0.0,8,0.0011,0.0
106,阴阳玉,8,0,0.0,8,0.0011,0.0
112,Reisen,7,1,0.1429,8,0.001,0.0002
112,妖精（含持花妖精，僵尸妖精）,7,1,0.1429,8,0.001,0.0002
114,龙神,6,2,0.3333,8,0.0008,0.0003
115,云山,5,1,0.2,6,0.0007,0.0002
115,木花D耶姬,5,1,0.2,6,0.0007,0.0002
115,UFO,5,1,0.2,6,0.0007,0.0002
115,狸猫,5,0,0.0,5,0.0007,0.0
119,明罗,4,2,0.5,6,0.0006,0.0003
119,矜羯罗,4,1,0.25,5,0.0006,0.0002
119,求闻史纪中的受访人群,4,1,0.25,5,0.0006,0.0002
119,大鲶鱼,4,0,0.0,4,0.0006,0.0
119,依莉斯,4,0,0.0,4,0.0006,0.0
124,非想天则,3,0,0.0,3,0.0004,0.0
124,玄爷,3,0,0.0,3,0.0004,0.0
124,小兔姬,3,0,0.0,3,0.0004,0.0
124,梦月,3,0,0.0,3,0.0004,0.0
124,月夜见,3,0,0.0,3,0.0004,0.0
129,大地精,2,2,1.0,4,0.0003,0.0003
129,月抄召唤诸神,2,1,0.5,3,0.0003,0.0002
129,里香,2,0,0.0,2,0.0003,0.0
129,朝仓理香子,2,0,0.0,2,0.0003,0.0
129,玛○奇,2,0,0.0,2,0.0003,0.0
129,奥莲姬,2,0,0.0,2,0.0003,0.0
129,幽灵,2,0,0.0,2,0.0003,0.0
136,神玉,1,0,0.0,1,0.0001,0.0
136,菊理,1,0,0.0,1,0.0001,0.0
136,幽玄魔眼,1,0,0.0,1,0.0001,0.0
136,咪咪号,1,0,0.0,1,0.0001,0.0
136,露易兹,1,0,0.0,1,0.0001,0.0
136,岩笠,1,0,0.0,1,0.0001,0.0
136,瑞江浦岛子,1,0,0.0,1,0.0001,0.0
136,雷兽,1,0,0.0,1,0.0001,0.0
136,运松翁,1,0,0.0,1,0.0001,0.0
136,邪龙,1,0,0.0,1,0.0001,0.0
136,河童（含山童）,1,0,0.0,1,0.0001,0.0
136,怨灵少女,1,0,0.0,1,0.0001,0.0
136,阴阳玉,1,0,0.0,1,0.0001,0.0
149,Flower～战车,0,0,0.0,0,0.0,0.0
149,邪眼西格玛,0,0,0.0,0,0.0,0.0
149,留琴,0,0,0.0,0,0.0,0.0
149,萨拉,0,0,0.0,0,0.0,0.0
149,石长姬,0,0,0.0,0,0.0,0.0
149,野槌,0,0,0.0,0,0.0,0.0
149,久米 / 竿打,0,0,0.0,0,0.0,0.0
149,水鬼鬼神长,0,0,0.0,0,0.0,0.0
149,烟烟罗,0,0,0.0,0,0.0,0.0
149,卓柏卡布拉,0,0,0.0,0,0.0,0.0
149,管狐,0,0,0.0,0,0.0,0.0
149,沓颊,0,0,0.0,0,0.0,0.0
149,佑天上人,0,0,0.0,0,0.0,0.0
149,白仙和尚,0,0,0.0,0,0.0,0.0
149,座敷童子,0,0,0.0,0,0.0,0.0
