角色名,票数
雾雨魔理沙,1301
博丽灵梦,1245
十六夜咲夜,1165
西行寺幽幽子,1092
爱丽丝·玛格特洛依德,919
八云紫,895
铃仙·优昙华院·因幡,891
射命丸文,886
魂魄妖梦,877
帕秋莉·诺蕾姬,743
蕾米莉亚·斯卡蕾特,688
上白泽慧音,616
芙兰朵露·斯卡蕾特,465
红美铃,447
伊吹萃香,422
八意永琳,387
八云蓝,375
藤原妹红,367
琪露诺,330
米斯蒂娅·萝蕾拉,296
风见幽香,277
露娜萨·普莉兹姆利巴,266
小野塚小町,237
蓬莱山辉夜,228
四季映姬·夜摩仙那度,225
露米娅,201
橙,157
因幡帝,155
小恶魔,148
莉莉霍瓦特,141
森近霖之助,139
上海人偶,108
莉格露·奈特巴格,100
梅蒂欣·梅兰可莉,93
神绮,91
宇佐见莲子2,90
蕾蒂·霍瓦特洛克,66
梅露兰·普莉兹姆利巴,58
魅魔,44
大妖精,43
莉莉卡·普莉兹姆利巴,42
玛艾露贝莉·赫恩3,25
北白河千百合,21
毛玉,19
魂魄妖忌,18
无名的读书妖怪（朱鹭子）,18
蕾拉·普莉兹姆利巴,14
冈崎梦美,12
斯塔萨菲雅,11
卡娜·安娜贝拉尔,9
小兔姬,9
梦子,9
露娜切露德,7
爱莲,6
杂鱼妖精,6
桑尼米尔克,6
朝仓理香子,6
里香,5
舞,4
幻月,4
艾丽,3
萨丽爱尔,3
旧作的一种杂鱼译名未定,3
玄爷,3
梦月,3
留琴,2
大蛤蟆,2
奥莲姬,1
胡桃,1
露易兹,1
明罗,1